Date,stress_1d,stress_5d
2022-01-20,,0.6136162485890873
2022-01-21,,1.4501944218693745
2022-01-24,,1.31656630997031
2022-01-25,1.0162830335327393,1.3302314605811245
2022-01-26,1.3265994883988512,1.2805051224020878
2022-01-27,1.4283526913587887,1.206839389573521
2022-01-28,1.0068713814473738,0.7469794317298686
2022-01-31,0.2365575143808694,3.036200591207566
2022-02-01,0.060774069869284464,0.38683997519738106
2022-02-02,0.1290395203249953,0.032804392534471344
2022-02-03,1.0105583537439586,0.6845223843838044
2022-02-04,0.08192126472534277,0.1052536219793548
2022-02-07,0.2496754695605939,0.2000871851974723
2022-02-08,0.40298202654181153,0.07451401663667784
2022-02-09,0.15311221373976217,0.20619049259032535
2022-02-10,0.8154662116811215,0.3750938796984051
2022-02-11,1.0717281564079573,1.1821391053885346
2022-02-14,1.1814447989435968,1.216667359352295
2022-02-15,1.0271218351383877,0.5376360589751612
2022-02-16,0.4823199090128584,0.5441559100708574
2022-02-17,1.5773912959387908,1.0504555739886456
2022-02-18,1.1653008115351893,0.8837956924198694
2022-02-22,1.278474526979986,1.3114136297240968
2022-02-23,1.3783342655348756,1.547399999439836
2022-02-24,1.545035046116964,1.397570834398202
2022-02-25,0.978045968336312,0.46337160410147726
2022-02-28,1.781895445761997,1.61485792961511
2022-03-01,2.429319058910736,1.5736623363130209
2022-03-02,1.6642182513469475,1.1295324895310088
2022-03-03,2.0114546720156103,1.343554494262412
2022-03-04,2.1948040646645537,1.5600723948510653
2022-03-07,2.5988251780302973,2.3966094888027034
2022-03-08,2.8169188072367146,2.2563722441527165
2022-03-09,1.8510174238283188,1.3195671701833698
2022-03-10,1.6648497882353284,1.357277524007273
2022-03-11,1.6984641856640563,1.3686820134434214
2022-03-14,2.5878273038039477,1.4049227765392847
2022-03-15,1.4887633139452088,1.2178529362279715
2022-03-16,0.6866988527839908,0.7875601505062345
2022-03-17,1.0753108944901544,0.848139016444038
2022-03-18,0.5203090781339295,0.23362968573933696
2022-03-21,1.024905331095176,0.49058564792192844
2022-03-22,0.41039551720974715,0.1130375937674967
2022-03-23,0.7679544182867185,0.4735300599084623
2022-03-24,0.18118382721413798,0.12133046552290597
2022-03-25,0.2804306834654872,0.44376936117533916
2022-03-28,0.44115125108232944,0.5399897281209709
2022-03-29,0.28978838246177085,0.013640323506971907
2022-03-30,0.38199984362604955,0.29438266966761995
2022-03-31,0.43371089638491334,0.36265253901182115
2022-04-01,0.3435691100223169,0.2544933685150203
2022-04-04,-0.1355464711198896,-0.034885570415878676
2022-04-05,1.0295996179131037,0.23805198972061567
2022-04-06,0.7060301628533645,0.5893051435647603
